,*,1,2,3,4,5,**,wb,eta,pot_elec
290,[,1.0089,1.0089,1.0089,1.0089,1.0089,],-1.0,1.0,-0.0221936
291,[,1.0086,1.0086,1.0086,1.0086,1.0086,],-1.0,1.0,-0.0213835
292,[,1.0082,1.0082,1.0082,1.0082,1.0082,],-1.0,1.0,-0.020603
293,[,1.0079,1.0079,1.0079,1.0079,1.0079,],-1.0,1.0,-0.0198509
294,[,1.0077,1.0077,1.0077,1.0077,1.0077,],-1.0,1.0,-0.0191264
295,[,1.0074,1.0074,1.0074,1.0074,1.0074,],-1.0,1.0,-0.0184282
296,[,1.0071,1.0071,1.0071,1.0071,1.0071,],-1.0,1.0,-0.0177556
297,[,1.0068,1.0068,1.0068,1.0068,1.0068,],-1.0,1.0,-0.0171075
298,[,1.0066,1.0066,1.0066,1.0066,1.0066,],-1.0,1.0,-0.016483
299,[,1.0064,1.0064,1.0064,1.0064,1.0064,],-1.0,1.0,-0.0158814
300,[,1.0061,1.0061,1.0061,1.0061,1.0061,],-1.0,1.0,-0.0153017
301,[,1.0059,1.0059,1.0059,1.0059,1.0059,],-1.0,1.0,-0.0147432
